subject,body,category,subcategory
Email alias creation request,Requesting permission to access \\share\Marketing\Reports. Business justification: team collaboration. Manager approval attached.,ticket,request
Application access for new employee,"Request for new user account. Name: Mike Smith, Department: Marketing, Start Date: 2026-03-02. Please create with standard permissions.",ticket,request
Weekly Newsletter - system event,"Newsletter: system event. This month features: Feature Article, Product Updates, Customer Stories. Read more on our website.",non-ticket,marketing
Sale Alert: Up to 56% off,New arrivals: clearance items. Be the first to shop our latest collection. Free shipping on orders over $197.,non-ticket,marketing
Your account will expire soon,Your report is ready. Reference number: REF493366. You can access it through your account dashboard.,non-ticket,notification
Critical bug in payment,The VPN has crashed. Error message: Null Pointer Exception. This is blocking reporting. High priority.,ticket,incident
Load balancer configuration change,Configuration change request for VPN. Change window: 2026-03-03. Rollback procedure documented.,ticket,change
New Products Available,Exclusive offer for our subscribers! Exclusive member benefits. Limited time only. Click here to browse our collection.,non-ticket,marketing
Printer access request,Requesting permission to access \\share\HR\Reports. Business justification: project requirement. Manager approval attached.,ticket,request
Account notification,Your order was successful. Transaction ID: TXN654416. This mailbox is not monitored. Please do not reply.,non-ticket,noreply
Your monthly roundup,Exclusive offer for our subscribers! Exclusive member benefits. Limited time only. Click here to browse our collection.,non-ticket,marketing
Request for Salesforce license,"New employee onboarding - please set up: email account, network access, Salesforce. Start date: 2026-02-23.",ticket,request
Your account will expire soon,Notification: Your password will expire in 25 days. Please update your password before 2026-02-14.,non-ticket,notification
System Down - API Gateway,Critical incident reported: email delivery. Service is currently down. Multiple users affected. Need urgent resolution.,ticket,incident
Reminder: Survey Response due soon,"Security Alert: We detected a new login to your account from New York, Chrome at 06:20. If this was not you, please secure your account.",non-ticket,notification
Server crash - DB-SERVER-02,Users reporting system freeze since 1:53 AM. 72 users affected. Production environment impacted.,ticket,incident
Shared drive access needed,Can you please install SAP on my workstation? I need it for Project Alpha. Computer ID: PC-5094.,ticket,request
Application access for new employee,"Hello, I need access to shared drive. My role is Developer and I require this for daily tasks. Please process this request.",ticket,request
Invoice available for download,"Security Alert: We detected a new login to your account from Tokyo, Firefox at 06:18. If this was not you, please secure your account.",non-ticket,notification
Problem Investigation: timeout errors,Pattern identified: Database Server fails every during backups. 57 incidents logged. Problem management process initiated.,ticket,problem
Login failed for multiple users,Users reporting performance degradation since 2:12 PM. 40 users affected. Production environment impacted.,ticket,incident
CR#57519: urgent resolution needed,"Change Request Details:
Change: application deployment
Scheduled Date: 2026-03-15
Downtime Expected: 2 hours
Backout Plan: Restore from backup
Approvals Required: Manager, CAB",ticket,change
Server upgrade request,Database migration scheduled for 2026-03-01. Backup completed. Migration scripts tested. Expected duration: 2 hours.,ticket,change
Password Reset Request,"New employee onboarding - please set up: email account, network access, Tableau. Start date: 2026-03-07.",ticket,request
Critical: data corruption not working,Incident #: data corruption - immediate attention required. Status: Critical. Multiple departments affected.,ticket,incident
Password Reset Request,"Request for new user account. Name: Mike Brown, Department: Support, Start Date: 2026-02-28. Please create with standard permissions.",ticket,request
Authentication Code,175146 is your authentication code. Enter this code to verify your identity. Code expires at 06:17.,non-ticket,otp
Account notification,This is a system-generated email regarding system event. Please do not respond to this message. Contact support@service.com for support.,non-ticket,noreply
Problem Investigation: timeout errors,Problem ticket created to investigate timeout errors. Frequency: daily. Impact: critical business operations. Need permanent solution.,ticket,problem
Recurring error: ERR-403,Problem record created: Intermittent data corruption. Unable to reproduce consistently. Logs show Monday morning. Need deep dive analysis.,ticket,problem
Underlying issue investigation,"Root cause analysis request for timeout errors. Related incidents: INC65676, INC27371. Common factor: disk I/O. Investigation priority: High.",ticket,problem
Limited Time Offer,Exclusive offer for our subscribers! Exclusive member benefits. Limited time only. Click here to browse our collection.,non-ticket,marketing
Email alias creation request,Requesting permission to access \\share\Finance\Documents. Business justification: team collaboration. Manager approval attached.,ticket,request
Backup policy modification,Configuration change request for API Gateway. Change window: 2026-02-28. Rollback procedure documented.,ticket,change
New Products Available,Don't miss our Summer Sale! Special discounts on Electronics. Use promo code 722335 at checkout. Ends 2026-02-14.,non-ticket,marketing
Confirm your identity: 790959,Your OTP for Company Portal is 790959. This is an automated message. Please do not reply.,non-ticket,otp
"You have won $1,000,000!!!",You have 4 messages waiting. Click here to view. Verification required. Do not ignore this message.,non-ticket,spam
Critical: data corruption not working,Emergency: Monitoring is not responding. Getting error: Access Denied. Business operations halted.,ticket,incident
Special Offer: 45% Off,"Dear valued customer, enjoy 45% off on selected categories. Use code: 846364. Offer valid until 2026-02-14. Shop now!",non-ticket,marketing
Network configuration change,Requesting change to update web server from version v3.2 to v4.9. Risk assessment completed.,ticket,change
Database connection failed,Production database throwing errors. Queries timing out. Application performance severely degraded.,ticket,incident
Backup completed successfully,Reminder: Document Review is due on 2026-02-14. Please complete this action to avoid service interruption.,non-ticket,notification
Two-Factor Authentication Code,842396 is your authentication code. Enter this code to verify your identity. Code expires at 06:19.,non-ticket,otp
Recurring error: ERR-2045,"Multiple incidents logged for load balancer: INC72901, INC10141, INC34159. Underlying problem suspected. Please investigate.",ticket,problem
System Down - Mobile App,Users reporting data corruption since 9:37 PM. 94 users affected. Production environment impacted.,ticket,incident
Multiple incidents related to web server,Chronic issue with web server. Performance degradation noticed over week. Trend analysis shows decreasing performance.,ticket,problem
Email alias creation request,I need to reset my password for Salesforce. Username: user873. Please send reset link.,ticket,request
Problem: Multiple similar incidents,Problem record created: Intermittent connectivity problems. Unable to reproduce consistently. Logs show during backups. Need deep dive analysis.,ticket,problem
Exclusive Deal Just for You,New arrivals: clearance items. Be the first to shop our latest collection. Free shipping on orders over $119.,non-ticket,marketing
System maintenance scheduled,Reminder: Training Completion is due on 2026-02-14. Please complete this action to avoid service interruption.,non-ticket,notification
Database connection failed,Emergency: Database is not responding. Getting error: Out of Memory. Business operations halted.,ticket,incident
Migration plan for Database Server,Infrastructure change needed: configuration update. Business justification: project requirement. Implementation date: 2026-02-16.,ticket,change
Email server down,Critical incident reported: report generation. Service is currently down. Multiple users affected. Need urgent resolution.,ticket,incident
Application crash on Linux,Emergency: Email Service is not responding. Getting error: Connection Timeout. Business operations halted.,ticket,incident
Server upgrade request,Scheduled maintenance window for Salesforce on 2026-03-01 from 7:00 AM to 11:00 AM. Impact: customer transactions. Stakeholders notified.,ticket,change
Make money from home,CONGRATULATIONS! You have been selected to receive an iPhone. Click here immediately to claim your reward. Act fast!,non-ticket,spam
